instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Community College of the Air Force,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Special Use,Not classified,Exclusively undergraduate two-year,Not classified,-86.352056000000005,32.378278000000002,,,,
Alabama A & M University,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- inclusive,High undergraduate,Medium four-year- highly residential,-86.568501999999995,34.783367999999996,,,0.029999999999999999,
University of Alabama at Birmingham,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Research Universities (very high research activity),Medium full-time four-year- selective- higher transfer-in,Majority undergraduate,Large four-year- primarily nonresidential,-86.809169999999995,33.502229999999997,,,0.01,
Amridge University,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Medium full-time four-year- inclusive,Majority undergraduate,Very small four-year- primarily nonresidential,-86.174009999999996,32.362608999999999,,,0.02,
University of Alabama at Huntsville,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- high graduate coexistence,Research Universities (very high research activity),Medium full-time four-year- selective- higher transfer-in,High undergraduate,Medium four-year- primarily nonresidential,-86.638419999999996,34.722817999999997,,,0.029999999999999999,
Alabama State University,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- inclusive,High undergraduate,Medium four-year- primarily residential,-86.295676999999998,32.364317,,,0.080000000000000002,
University of Alabama System Office,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-87.560857999999996,33.212524999999999,,,,
The University of Alabama,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- high graduate coexistence,Research Universities (high research activity),Full-time four-year- selective- lower transfer-in,High undergraduate,Large four-year- primarily residential,-87.545766,33.214399999999998,,,0.0,
Central Alabama Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-85.94653000000001,32.924428999999996,,,,
Athens State University,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Higher part-time four-year,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-86.965140000000005,34.805624999999999,,,0.02,
Auburn University at Montgomery,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Medium full-time four-year- selective- higher transfer-in,High undergraduate,Medium four-year- primarily nonresidential,-86.177351000000002,32.369939000000002,,,,
Auburn University,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- high graduate coexistence,Research Universities (high research activity),Full-time four-year- more selective- higher transfer-in,High undergraduate,Large four-year- primarily nonresidential,-85.492408999999995,32.600200999999998,,,0.0,
Birmingham Southern College,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences plus professions- some graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- more selective- lower transfer-in,Very high undergraduate,Small four-year- highly residential,-86.853635999999995,33.515453000000001,19556.0,21766.0,0.029999999999999999,
Chattahoochee Valley Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-85.031485000000004,32.423909999999999,,,,
Concordia College Selma,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- highly residential,-87.024229000000005,32.422290999999994,,,,
South University-Montgomery,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Higher part-time four-year,Very high undergraduate,Very small four-year- primarily nonresidential,-86.216487999999998,32.342684000000006,,,0.20999999999999999,
Enterprise State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Medium full-time two-year,Exclusively undergraduate two-year,Medium two-year,-85.836956000000001,31.297496000000002,,,,
James H Faulkner State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Medium full-time two-year,Exclusively undergraduate two-year,Medium two-year,-87.779758000000001,30.852045,,,,
Faulkner University,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Medium full-time four-year- selective- lower transfer-in,High undergraduate,Small four-year- primarily nonresidential,-86.216409999999996,32.384180999999998,19610.0,17841.0,0.01,
Gadsden State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Medium full-time two-year,Exclusively undergraduate two-year,Large two-year,-85.991298999999998,33.991865999999995,,,,
New Beginning College of Cosmetology,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-86.199961999999999,34.259290999999997,,,,
George C Wallace State Community College-Dothan,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,-85.463549999999998,31.316085999999999,,,,
George C Wallace State Community College-Hanceville,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,-86.781745000000001,34.073409999999996,,,,
George C Wallace State Community College-Selma,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-87.013239999999996,32.445611,,,,
Herzing University-Birmingham,Private for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Higher part-time four-year,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-86.832299000000006,33.468105000000001,,15314.0,0.080000000000000002,
Huntingdon College,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- selective- higher transfer-in,Exclusively undergraduate four-year,Very small four-year- primarily residential,-86.285313000000002,32.350939000000004,18512.0,19109.0,,
Heritage Christian University,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Majority undergraduate,Not applicable- special focus institution,-87.662062000000006,34.859089000000004,,,,
J F Drake State Technical College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-86.573817000000005,34.772115999999997,,,,
J F Ingram State Technical College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-86.392368999999988,32.582312000000002,,,,
Jacksonville State University,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Medium full-time four-year- inclusive,Very high undergraduate,Medium four-year- primarily nonresidential,-85.766643999999999,33.822127999999999,,,0.01,
Jefferson Davis Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-87.085829000000004,31.101995000000002,,,,
Jefferson State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-86.707386999999997,33.652439000000001,,,,
John C Calhoun State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Mixed part/full-time two-year,Exclusively undergraduate two-year,Large two-year,-86.949131000000008,34.65428,,,,
Judson College,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences focus- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Medium full-time four-year- selective- higher transfer-in,Exclusively undergraduate four-year,Very small four-year- primarily residential,-87.316127000000009,32.630526000000003,16622.0,18462.0,,
Lawson State Community College-Birmingham Campus,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,-86.890233999999992,33.451673,,,,
University of West Alabama,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Master's Colleges and Universities (larger programs),Medium full-time four-year- selective- higher transfer-in,Majority undergraduate,Medium four-year- primarily residential,-88.186076999999997,32.592440000000003,,,,
Lurleen B Wallace Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-86.452262000000005,31.322946999999996,,,,
Marion Military Institute,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-87.317998000000003,32.622359000000003,,,,
Miles College,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- primarily residential,-86.908605000000009,33.481305999999996,17695.0,17526.0,0.02,
University of Mobile,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- selective- higher transfer-in,Very high undergraduate,Small four-year- primarily residential,-88.128934000000001,30.793246999999997,19173.0,18820.0,0.0,
University of Montevallo,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Master's Colleges and Universities (medium programs),Full-time four-year- selective- lower transfer-in,High undergraduate,Small four-year- primarily residential,-86.865099000000001,33.106250000000003,,,,
Northwest Shoals Community College-Muscle Shoals,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,-87.677329999999998,34.739567000000001,,,,
University of North Alabama,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- selective- higher transfer-in,High undergraduate,Medium four-year- primarily nonresidential,-87.680999,34.806579999999997,,,0.01,
Northeast Alabama Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,-85.911664000000002,34.545470999999999,,,,
Oakwood University,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Very high undergraduate,Small four-year- highly residential,-86.661628000000007,34.756628000000006,26442.0,26178.0,0.0,
Alabama Southern Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-87.326352,31.488924999999998,,,,
Prince Institute of Professional Studies Inc,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-86.162212999999994,32.383091,,,,
Reid State Technical College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-86.964485999999994,31.460709999999999,,,,
Bishop State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,-88.056981999999991,30.693971999999999,,,,
Samford University,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Master's Colleges and Universities (medium programs),Full-time four-year- selective- lower transfer-in,Majority undergraduate,Medium four-year- highly residential,-86.790931999999998,33.464578000000003,24662.0,26836.0,0.01,
Selma University,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Majority undergraduate,Not applicable- special focus institution,-87.033826000000005,32.420358,,,,
Shelton State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Medium full-time two-year,Exclusively undergraduate two-year,Medium two-year,-87.561480000000003,33.120531,,,,
Snead State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-86.169480000000007,34.200690000000002,,,,
University of South Alabama,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Research Universities (high research activity),Medium full-time four-year- selective- higher transfer-in,High undergraduate,Large four-year- primarily nonresidential,-88.181889999999996,30.695080999999998,,,0.02,
Spring Hill College,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Master's Colleges and Universities (smaller programs),Full-time four-year- selective- lower transfer-in,Very high undergraduate,Small four-year- highly residential,-88.138199,30.694751,19780.0,21746.0,,
Southeastern Bible College,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-86.749044999999995,33.378934999999998,14176.0,11176.0,,
Stillman College,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- highly residential,-87.585242000000008,33.199228000000005,24615.0,20615.0,,
Talladega College,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences plus professions- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- highly residential,-86.113675000000001,33.434258,14073.0,,0.040000000000000001,
H Councill Trenholm State Technical College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-86.343057000000002,32.350109000000003,,,,
Troy University,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Higher part-time four-year,High undergraduate,Large four-year- primarily residential,-85.950191000000004,31.800128000000004,,,0.050000000000000003,
Tuskegee University,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,High undergraduate,Small four-year- highly residential,-85.710315000000008,32.431021000000001,24261.0,,0.01,
United States Sports Academy,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Other special-focus institutions,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-87.911630000000002,30.639328999999996,,,,
Bevill State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,-87.265034,33.835784999999994,,,,
University of Alaska Anchorage,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Higher part-time four-year,Very high undergraduate,Medium four-year- primarily nonresidential,-149.82613500000002,61.189554000000001,,,0.01,
Alaska Bible College,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-145.52624,62.112960000000001,,,,
University of Alaska Fairbanks,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Research Universities (high research activity),Medium full-time four-year- inclusive,High undergraduate,Medium four-year- primarily residential,-147.82474999999999,64.857053000000008,,,0.01,
University of Alaska Southeast,Public,Undergraduate degree or certificate offering,Arts & sciences plus professions- some graduate coexistence,Master's Colleges and Universities (smaller programs),Higher part-time four-year,High undergraduate,Small four-year- primarily nonresidential,-134.636346,58.384269999999994,,,,
Alaska Pacific University,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (smaller programs),Higher part-time four-year,Majority undergraduate,Very small four-year- primarily residential,-149.80424199999999,61.191234999999999,33380.0,32754.0,,
AVTEC-Alaska's Institute of Technology,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-149.44457299999999,60.110727000000004,,,,
Charter College-Anchorage,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Medium full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-149.84017800000001,61.195785999999998,23187.0,23187.0,0.46999999999999997,
Prince William Sound Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Higher part-time two-year,Exclusively undergraduate two-year,Very small two-year,-146.17798999999999,61.122364000000005,,,,
Career Academy,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-149.856954,61.181443000000002,,,,
University of Alaska System of Higher Education,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-147.82863,64.858626000000001,,,,
Everest College-Phoenix,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Associate's--Private For-profit 4-year Primarily Associate's,Full-time four-year- inclusive,Exclusively undergraduate four-year,Medium four-year- primarily nonresidential,-112.113845,33.580984999999998,,30946.0,,
Collins College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-111.98646000000001,33.40334,29728.0,29875.0,0.0,
Empire Beauty School-Paradise Valley,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.97635700000001,33.602592999999999,17368.0,,,
Empire Beauty School-Tucson,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-110.92718700000002,32.235657000000003,16977.0,,,
Thunderbird School of Global Management,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of business and management,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-112.18086100000001,33.620886999999996,,,,
American Indian College of the Assemblies of God Inc,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- highly residential,-112.092247,33.577738000000004,,,,
American Institute of Technology,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-112.175304,33.442261999999999,16363.0,17388.0,,
Carrington College-Phoenix,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Large two-year,-112.11554599999999,33.560821000000004,23832.0,21088.0,,
Carrington College-Mesa,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.85528100000001,33.393013000000003,23976.0,,,
Carrington College-Tucson,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-110.977999,32.270860999999996,23065.0,23065.0,,
College America-Flagstaff,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-111.60479299999999,35.211151999999998,,,0.0,
Arizona Academy of Beauty-East,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-110.87230500000001,32.237253000000003,,,,
Arizona Automotive Institute,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-112.15734399999999,33.537248999999996,28517.0,28517.0,,
Brookline College-Phoenix,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-112.15007,33.525384000000003,28689.0,27770.0,,
Arizona State University,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Research Universities (very high research activity),Full-time four-year- selective- higher transfer-in,High undergraduate,Large four-year- primarily nonresidential,-111.94001100000001,33.421921000000005,,,0.02,
Arizona Western College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-114.49596799999999,32.689306000000002,,,,
University of Arizona,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Research Universities (very high research activity),Full-time four-year- selective- higher transfer-in,High undergraduate,Large four-year- primarily nonresidential,-110.95076899999999,32.232071000000005,,,0.01,
Southwest University of Visual Arts-Tucson,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-110.92732099999999,32.252383999999999,,,,
Brillare Hairdressing Academy,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.92547900000001,33.624040999999998,16288.0,16288.0,,
Central Arizona College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-111.652501,32.957091999999996,,,,
Brown Mackie College-Tucson,Private for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-110.89508600000001,32.236736000000001,28349.0,28349.0,0.0,
Charles of Italy Beauty College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-114.32813400000001,34.475275000000003,8875.0,,,
Cochise College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-109.690422,31.365757000000002,,,,
Empire Beauty School-Flagstaff,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.62593600000001,35.197150999999998,16983.0,,,
Empire Beauty School-Chandler,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.860423,33.347586,16374.0,16374.0,,
Cortiva Institute-Tucson,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-110.85678500000002,32.219009999999997,23955.0,23955.0,,
DeVry University-Arizona,Private for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (medium programs),Higher part-time four-year,High undergraduate,Small four-year- primarily nonresidential,-112.104445,33.566086999999996,25839.0,27696.0,0.23999999999999999,
Avalon School of Cosmetology,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.858305,33.376583000000004,14223.0,14388.0,,
Eastern Arizona College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-109.761664,32.840719,,,,
