instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
J & J Hair Design College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-89.533147,32.737648999999998,,,,
Vatterott College-Berkeley,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Associate's--Private For-profit 4-year Primarily Associate's,Full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-90.311897999999999,38.721992,21836.0,21836.0,,
Metro Business College-Rolla,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-91.755011999999994,37.938450000000003,,,,
Metro Business College-Jefferson City,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-92.249887999999999,38.588015000000006,,,,
Warren County Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Single Campus,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-75.005977000000001,40.752352999999999,,,,
St John's College,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences focus- high graduate coexistence,Master's Colleges and Universities (smaller programs),Full-time four-year- more selective- lower transfer-in,High undergraduate,Very small four-year- highly residential,-105.912226,35.666789000000001,28605.0,41720.0,,
Yeshiva and Kollel Harbotzas Torah,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Majority undergraduate,Not applicable- special focus institution,-73.960993999999999,40.624029,,,,
Bais Medrash Elyon,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,High undergraduate,Not applicable- special focus institution,-74.069230000000005,41.113973999999999,,,,
Antioch University-Los Angeles,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences focus- no graduate coexistence,Master's Colleges and Universities (larger programs),Higher part-time four-year,Majority graduate/professional,Very small four-year- primarily nonresidential,-118.38465100000001,33.987639999999999,,,,
Antioch University-Santa Barbara,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences focus- no graduate coexistence,Master's Colleges and Universities (smaller programs),Higher part-time four-year,Majority graduate/professional,Very small four-year- primarily nonresidential,-119.696032,34.422909000000004,,,,
